Provinsi,Nilai,Tahun,Kategori
Sumatera Utara,5695.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,2112.9,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,1139.0,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,2884.2,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,4848.7,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,1203.5,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,1430.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,1327.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,2489.2,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,27.4,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,0.0,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,106.5,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,0.0,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,2727.7,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,241.7,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,5887.2,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,0.0,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,6022.1,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,18965.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,1343.1,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,74068.7,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,164.5,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,28844.7,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,2203.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,1653.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,1144.9,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,576.8,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,2539.3,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,4300.7,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,10147.5,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,16704.6,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,15515.7,2016-2017,Total Deforestasi
Sumatera Utara,22549.6,2016-2017,Total Deforestasi
Sumatera Barat,8680.0,2016-2017,Total Deforestasi
Riau,6981.6,2016-2017,Total Deforestasi
Jambi,32871.3,2016-2017,Total Deforestasi
Sumatera Selatan,22286.6,2016-2017,Total Deforestasi
Bengkulu,5091.5,2016-2017,Total Deforestasi
Lampung,4420.3,2016-2017,Total Deforestasi
Kepulauan Bangka Belitung,3181.7,2016-2017,Total Deforestasi
Kepulauan Riau,5662.8,2016-2017,Total Deforestasi
DKI Jakarta,0.8,2016-2017,Total Deforestasi
Jawa Barat,188.0,2016-2017,Total Deforestasi
Jawa Tengah,0.0,2016-2017,Total Deforestasi
DI Yogyakarta,270.2,2016-2017,Total Deforestasi
Jawa Timur,0.0,2016-2017,Total Deforestasi
Banten,5262.1,2016-2017,Total Deforestasi
